country_name,Country Code,Series Name,Series Code,Urban Pop. Rate
Brazil,BRA,Urban population growth (annual %),SP.URB.GROW,1.170641414
British Virgin Islands,VGB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.583
British Virgin Islands,VGB,Urban population growth (annual %),SP.URB.GROW,2.150143788
Brunei Darussalam,BRN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.663
Brunei Darussalam,BRN,Urban population growth (annual %),SP.URB.GROW,1.573509212
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.99
Bulgaria,BGR,Urban population growth (annual %),SP.URB.GROW,-0.178845947
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.53
Burkina Faso,BFA,Urban population growth (annual %),SP.URB.GROW,5.161046779
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,12.078
Burundi,BDI,Urban population growth (annual %),SP.URB.GROW,4.720912812
Cabo Verde,CPV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.3
Cabo Verde,CPV,Urban population growth (annual %),SP.URB.GROW,1.874129117
Cambodia,KHM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.188
Cambodia,KHM,Urban population growth (annual %),SP.URB.GROW,3.118540361
Cameroon,CMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.578
Cameroon,CMR,Urban population growth (annual %),SP.URB.GROW,4.256719555
Canada,CAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.259
Canada,CAN,Urban population growth (annual %),SP.URB.GROW,0.810767766
Cayman Islands,CYM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Cayman Islands,CYM,Urban population growth (annual %),SP.URB.GROW,2.24463645
Central African Republic,CAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.277
Central African Republic,CAF,Urban population growth (annual %),SP.URB.GROW,1.221025125
Chad,TCD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.515
Chad,TCD,Urban population growth (annual %),SP.URB.GROW,3.821269132
Channel Islands,CHI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.962
Channel Islands,CHI,Urban population growth (annual %),SP.URB.GROW,0.683373958
Chile,CHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.36
Chile,CHL,Urban population growth (annual %),SP.URB.GROW,1.094691346
China,CHN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.5
China,CHN,Urban population growth (annual %),SP.URB.GROW,2.842870548
Colombia,COL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.764
Colombia,COL,Urban population growth (annual %),SP.URB.GROW,1.380494192
Comoros,COM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,28.47
Comoros,COM,Urban population growth (annual %),SP.URB.GROW,2.624426023
"Congo, Dem. Rep.",COD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.74
"Congo, Dem. Rep.",COD,Urban population growth (annual %),SP.URB.GROW,4.708299539
"Congo, Rep.",COG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.543
"Congo, Rep.",COG,Urban population growth (annual %),SP.URB.GROW,3.08964367
Costa Rica,CRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.862
Costa Rica,CRI,Urban population growth (annual %),SP.URB.GROW,2.251827421
Cote d'Ivoire,CIV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.444
Cote d'Ivoire,CIV,Urban population growth (annual %),SP.URB.GROW,3.454247897
Croatia,HRV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.155
Croatia,HRV,Urban population growth (annual %),SP.URB.GROW,-0.410081982
Cuba,CUB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,76.896
Cuba,CUB,Urban population growth (annual %),SP.URB.GROW,0.114929392
Curacao,CUW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.352
Curacao,CUW,Urban population growth (annual %),SP.URB.GROW,1.217371631
Cyprus,CYP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.946
Cyprus,CYP,Urban population growth (annual %),SP.URB.GROW,0.743032157
Czechia,CZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.477
Czechia,CZE,Urban population growth (annual %),SP.URB.GROW,0.323237456
Denmark,DNK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.526
Denmark,DNK,Urban population growth (annual %),SP.URB.GROW,0.839047238
Djibouti,DJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.417
Djibouti,DJI,Urban population growth (annual %),SP.URB.GROW,1.854406166
Dominica,DMA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.579
Dominica,DMA,Urban population growth (annual %),SP.URB.GROW,1.343411751
Dominican Republic,DOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.566
Dominican Republic,DOM,Urban population growth (annual %),SP.URB.GROW,2.343036226
Ecuador,ECU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,63.398
Ecuador,ECU,Urban population growth (annual %),SP.URB.GROW,1.696160575
"Egypt, Arab Rep.",EGY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.785
"Egypt, Arab Rep.",EGY,Urban population growth (annual %),SP.URB.GROW,2.079125183
El Salvador,SLV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.7
El Salvador,SLV,Urban population growth (annual %),SP.URB.GROW,1.53844155
Equatorial Guinea,GNQ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,70.616
Equatorial Guinea,GNQ,Urban population growth (annual %),SP.URB.GROW,4.678398385
Eritrea,ERI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.206
Eritrea,ERI,Urban population growth (annual %),SP.URB.GROW,2.123184678
Estonia,EST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.416
Estonia,EST,Urban population growth (annual %),SP.URB.GROW,0.280631504
Eswatini,SWZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.3
Eswatini,SWZ,Urban population growth (annual %),SP.URB.GROW,1.364645734
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.428
Ethiopia,ETH,Urban population growth (annual %),SP.URB.GROW,4.933553685
Faroe Islands,FRO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.638
Faroe Islands,FRO,Urban population growth (annual %),SP.URB.GROW,1.053448254
Fiji,FJI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.726
Fiji,FJI,Urban population growth (annual %),SP.URB.GROW,1.1152774
Finland,FIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.225
Finland,FIN,Urban population growth (annual %),SP.URB.GROW,0.388059711
France,FRA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.655
France,FRA,Urban population growth (annual %),SP.URB.GROW,0.683771062
French Polynesia,PYF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.683
French Polynesia,PYF,Urban population growth (annual %),SP.URB.GROW,0.739463552
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.118
Gabon,GAB,Urban population growth (annual %),SP.URB.GROW,3.618323114
"Gambia, The",GMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.228
